"Date";"District";"Ag_Neg";"Ag_Pos";"Total"
2020-10-26;"Okres Humenné";0;0;0
2020-10-26;"Okres Kežmarok";12;4;16
2020-10-26;"Okres Komárno";47;11;58
2020-10-26;"Okres Košice I";0;0;0
2020-10-26;"Okres Košice II";56;1;57
2020-10-26;"Okres Košice IV";6;0;6
2020-10-26;"Okres Krupina";2;0;2
2020-10-26;"Okres Levice";432;31;463
2020-10-26;"Okres Levoča";16;0;16
2020-10-26;"Okres Liptovský Mikuláš";36;18;54
2020-10-26;"Okres Lučenec";13;1;14
2020-10-26;"Okres Malacky";0;0;0
2020-10-26;"Okres Martin";17;4;21
2020-10-26;"Okres Michalovce";15;3;18
2020-10-26;"Okres Myjava";4;5;9
2020-10-26;"Okres Nitra";142;13;155
2020-10-26;"Okres Nové Mesto nad Váhom";2;0;2
2020-10-26;"Okres Partizánske";6;3;9
2020-10-26;"Okres Pezinok";27;1;28
2020-10-26;"Okres Piešťany";10;1;11
2020-10-26;"Okres Poprad";140;17;157
2020-10-26;"Okres Prešov";159;28;187
2020-10-26;"Okres Prievidza";78;26;104
2020-10-26;"Okres Revúca";18;1;19
2020-10-26;"Okres Rimavská Sobota";50;0;50
2020-10-26;"Okres Rožňava";6;2;8
2020-10-26;"Okres Ružomberok";0;0;0
2020-10-26;"Okres Skalica";0;0;0
2020-10-26;"Okres Snina";0;0;0
2020-10-26;"Okres Spišská Nová Ves";126;2;128
2020-10-26;"Okres Stará Ľubovňa";10;3;13
2020-10-26;"Okres Svidník";0;0;0
2020-10-26;"Okres Topoľčany";5;1;6
2020-10-26;"Okres Trebišov";3;4;7
2020-10-26;"Okres Trenčín";17;2;19
2020-10-26;"Okres Trnava";3;0;3
2020-10-26;"Okres Veľký Krtíš";6;0;6
2020-10-26;"Okres Zlaté Moravce";7;0;7
2020-10-26;"Okres Zvolen";13;0;13
2020-10-26;"Okres Žiar nad Hronom";0;0;0
2020-10-26;"Okres Žilina";19;3;22
2020-10-26;NA;6;0;6
2020-10-27;"Okres Banská Bystrica";57;2;59
2020-10-27;"Okres Bardejov";30;6;36
2020-10-27;"Okres Bratislava I";63;1;64
2020-10-27;"Okres Bratislava II";20;2;22
2020-10-27;"Okres Bratislava III";14;1;15
2020-10-27;"Okres Bratislava V";12;0;12
2020-10-27;"Okres Brezno";109;23;132
2020-10-27;"Okres Čadca";0;0;0
2020-10-27;"Okres Dolný Kubín";20;2;22
2020-10-27;"Okres Dunajská Streda";399;33;432
2020-10-27;"Okres Galanta";4;0;4
2020-10-27;"Okres Humenné";0;0;0
2020-10-27;"Okres Kežmarok";8;0;8
2020-10-27;"Okres Komárno";103;17;120
2020-10-27;"Okres Košice I";0;0;0
2020-10-27;"Okres Košice II";108;4;112
2020-10-27;"Okres Košice IV";0;0;0
2020-10-27;"Okres Levice";221;17;238
2020-10-27;"Okres Levoča";13;1;14
2020-10-27;"Okres Liptovský Mikuláš";24;8;32
2020-10-27;"Okres Lučenec";21;2;23
2020-10-27;"Okres Malacky";0;0;0
2020-10-27;"Okres Martin";18;5;23
2020-10-27;"Okres Michalovce";73;7;80
2020-10-27;"Okres Myjava";10;7;17
2020-10-27;"Okres Nitra";218;13;231
2020-10-27;"Okres Nové Mesto nad Váhom";2;0;2
2020-10-27;"Okres Partizánske";18;3;21
2020-10-27;"Okres Pezinok";35;0;35
2020-10-27;"Okres Piešťany";36;1;37
2020-10-27;"Okres Poprad";159;15;174
2020-10-27;"Okres Prešov";31;2;33
2020-10-27;"Okres Prievidza";28;12;40
2020-10-27;"Okres Revúca";424;9;433
2020-10-27;"Okres Rimavská Sobota";9;3;12
2020-10-27;"Okres Rožňava";85;4;89
2020-10-27;"Okres Ružomberok";2;0;2
2020-10-27;"Okres Senec";1;0;1
2020-10-27;"Okres Skalica";22;2;24
2020-10-27;"Okres Snina";0;0;0
2020-10-27;"Okres Spišská Nová Ves";170;6;176
2020-10-27;"Okres Stará Ľubovňa";27;10;37
2020-10-27;"Okres Svidník";0;0;0
2020-10-27;"Okres Topoľčany";1;0;1
2020-10-27;"Okres Trebišov";3;0;3
2020-10-27;"Okres Trenčín";69;5;74
2020-10-27;"Okres Veľký Krtíš";3;0;3
2020-10-27;"Okres Zlaté Moravce";7;0;7
2020-10-27;"Okres Zvolen";31;1;32
2020-10-27;"Okres Žiar nad Hronom";0;0;0
2020-10-27;"Okres Žilina";90;9;99
2020-10-27;NA;4;1;5
2020-10-28;"Okres Banská Bystrica";36;4;40
2020-10-28;"Okres Bardejov";10;2;12
2020-10-28;"Okres Bratislava I";157;8;165
2020-10-28;"Okres Bratislava II";31;2;33
2020-10-28;"Okres Bratislava III";11;1;12
2020-10-28;"Okres Bratislava V";8;0;8
2020-10-28;"Okres Brezno";109;23;132
2020-10-28;"Okres Čadca";0;0;0
2020-10-28;"Okres Dolný Kubín";9;3;12
2020-10-28;"Okres Dunajská Streda";27;8;35
