nazov;datum;kraj;okres;obec;kod_pzs;non-O2_obs;non-O2_rel-obs;non-O2_volne;non-O2_max;O2_obs;O2_rel-obs;O2_volne;O2_max;JIS1_obs;JIS1_rel-obs;JIS1_volne;JIS1_max;JIS2_obs;JIS2_rel-obs;JIS2_volne;JIS2_max;JIS3_obs;JIS3_rel-obs;JIS3_volne;JIS3_max;OAIM_obs;OAIM_rel-obs;OAIM_volne;OAIM_max;spolu_obs;spolu_rel-obs;spolu_volne;spolu_max
Psych. n. Veľké Zálužie;2020-11-10;Nitriansky kraj;Okres Nitra;Veľké Zálužie;P19393005101;87;1.000000;0;87;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;87;1.000000;0;87
SÚSÚSCCH Banská Bystrica;2020-11-10;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;P35968069101;0;0.000000;0;0;4;0.307692;9;13;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;0;0.000000;13;13;4;0.142857;24;28
Svet zdravia Rimavská Sobota;2020-11-10;Banskobystrický kraj;Okres Rimavská Sobota;Rimavská Sobota;P83216196102;0;0.000000;12;12;20;0.833333;4;24;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;21;0.552632;17;38
Svet zdravia Topoľčany;2020-11-10;Nitriansky kraj;Okres Topoľčany;Topoľčany;P59688205101;0;0.000000;14;14;5;0.416667;7;12;1;0.500000;1;2;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;8;0.266667;22;30
Svet zdravia Žiar nad Hronom;2020-11-10;Banskobystrický kraj;Okres Žiar nad Hronom;Žiar nad Hronom;P83216007101;0;0.000000;0;0;10;0.555556;8;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;11;0.578947;8;19
UN L. Pasteura Košice;2020-11-10;Košický kraj;Okres Košice IV;Košice - Juh;P77017002101;0;0.000000;3;3;58;0.547170;48;106;6;0.666667;3;9;6;0.600000;4;10;0;0.000000;2;2;7;0.411765;10;17;77;0.523810;70;147
UN Martin;2020-11-10;Žilinský kraj;Okres Martin;Martin;P38811002101;0;0.000000;11;25;68;0.653846;17;104;0;0.000000;0;0;7;0.350000;7;20;9;0.750000;3;12;0;0.000000;1;1;84;0.518519;39;162
UNB - akad. L. Dérera;2020-11-10;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P40707002101;0;0.000000;12;12;50;0.485437;9;103;0;0.000000;0;0;5;0.333333;1;15;0;0.000000;0;0;4;1.000000;0;4;59;0.440299;22;134
UNB - Ružinov;2020-11-10;Bratislavský kraj;Okres Bratislava II;Bratislava - Ružinov;P40707025101;0;0.000000;0;0;19;0.463415;2;41;7;0.700000;3;10;2;0.400000;0;5;0;0.000000;0;0;4;0.250000;0;16;32;0.444444;5;72
UNB - Staré Meso;2020-11-10;Bratislavský kraj;Okres Bratislava I;Bratislava - Staré Mesto;P40707025106;6;0.750000;2;8;0;0.000000;3;10;0;0.000000;0;0;0;0.000000;3;3;0;0.000000;0;1;0;0.000000;0;0;6;0.272727;8;22
UNB - sv. Cyrila a Metoda;2020-11-10;Bratislavský kraj;Okres Bratislava V;Bratislava - Petržalka;P40707025104;0;0.000000;0;0;9;0.900000;1;10;0;0.000000;0;0;0;0.000000;3;3;0;0.000000;0;3;1;0.333333;2;3;10;0.526316;6;19
ÚVN SNP Ružomberok;2020-11-10;Žilinský kraj;Okres Ružomberok;Ružomberok;P91151002101;19;0.513514;18;37;23;0.410714;33;56;0;0.000000;5;5;0;0.000000;0;0;8;0.500000;4;16;0;0.000000;0;0;50;0.438596;60;114
VOÚ Košice;2020-11-10;Košický kraj;Okres Košice IV;Košice - Juh;P76995046101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Vranovská nemocnica, Vranov nad Topľou;2020-11-10;Prešovský kraj;Okres Vranov nad Topľou;Vranov nad Topľou;P02824196101;0;0.000000;4;4;29;0.644444;16;45;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;31;0.607843;20;51
VšNsP Lučenec;2020-11-10;Banskobystrický kraj;Okres Lučenec;Lučenec;N50139002101;0;0.000000;36;36;21;0.344262;40;61;0;0.000000;0;0;0;0.000000;0;0;4;0.800000;1;5;0;0.000000;0;0;25;0.245098;77;102
VÚSCH Košice;2020-11-10;Košický kraj;Okres Košice II;Košice - Západ;P89851025101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
AGEL Komárno;2020-11-11;Nitriansky kraj;Okres Komárno;Komárno;P77941001101;0;0.000000;2;2;19;0.633333;11;30;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;0;0.000000;1;1;20;0.571429;15;35
AGEL Levice;2020-11-11;Nitriansky kraj;Okres Levice;Levice;P01675196101;11;0.523810;10;21;10;0.416667;14;24;5;1.000000;0;5;0;0.000000;0;0;0;0.000000;0;0;1;0.200000;4;5;27;0.490909;28;55
AGEL Levoča;2020-11-11;Prešovský kraj;Okres Levoča;Levoča;P76239015101;12;0.155844;7;77;11;0.423077;0;26;0;0.000000;0;7;0;0.000000;0;0;0;0.000000;0;0;3;0.750000;1;4;26;0.228070;8;114
AGEL Zlaté Moravce;2020-11-11;Nitriansky kraj;Okres Zlaté Moravce;Zlaté Moravce;P38629010101;3;0.750000;1;4;8;0.470588;0;17;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;11;0.500000;2;22
AGEL Zvolen, pr. Krupina;2020-11-11;Banskobystrický kraj;Okres Krupina;Krupina;P79469205101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
AGEL Zvolen, pr. Zvolen;2020-11-11;Banskobystrický kraj;Okres Zvolen;Zvolen;P79469202101;0;0.000000;0;0;17;0.944444;1;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;19;0.950000;1;20
DFN Košice;2020-11-11;Košický kraj;Okres Košice II;Košice - Západ;P89483331101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;1;1
DFNsP Banská Bystrica;2020-11-11;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;N49813332101;0;0.000000;0;24;1;0.125000;7;8;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;3;0;0.000000;1;3;1;0.026316;9;38
DONsP Dolný Kubín;2020-11-11;Žilinský kraj;Okres Dolný Kubín;Dolný Kubín;P51283196101;0;0.000000;0;0;25;0.694444;11;36;1;0.250000;3;4;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;27;0.642857;15;42
FN Nitra;2020-11-11;Nitriansky kraj;Okres Nitra;Nitra;P85687002101;0;0.000000;80;80;47;0.382114;76;123;3;0.111111;24;27;3;0.375000;5;8;0;0.000000;10;10;5;0.416667;7;12;58;0.223077;202;260
FN Trenčín;2020-11-11;Trenčiansky kraj;Okres Trenčín;Trenčín;P42383002101;0;0.000000;50;50;47;0.723077;18;65;0;0.000000;0;0;0;0.000000;0;0;3;0.500000;3;6;7;0.700000;3;10;57;0.435115;74;131
FN Trnava;2020-11-11;Trnavský kraj;Okres Trnava;Trnava;P20979002101;19;0.558824;15;34;7;0.092105;69;76;0;0.000000;0;0;3;0.500000;3;6;0;0.000000;0;0;4;0.400000;6;10;33;0.261905;93;126
