nazov;datum;kraj;okres;obec;kod_pzs;non-O2_obs;non-O2_rel-obs;non-O2_volne;non-O2_max;O2_obs;O2_rel-obs;O2_volne;O2_max;JIS1_obs;JIS1_rel-obs;JIS1_volne;JIS1_max;JIS2_obs;JIS2_rel-obs;JIS2_volne;JIS2_max;JIS3_obs;JIS3_rel-obs;JIS3_volne;JIS3_max;OAIM_obs;OAIM_rel-obs;OAIM_volne;OAIM_max;spolu_obs;spolu_rel-obs;spolu_volne;spolu_max
NsP Ilava;2020-11-16;Trenčiansky kraj;Okres Ilava;Ilava;P87119205101;15;1.000000;0;15;6;1.000000;0;6;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;21;1.000000;0;21
NsP Myjava;2020-11-16;Trenčiansky kraj;Okres Myjava;Myjava;P82987007101;6;0.333333;12;18;7;0.318182;15;22;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;0.250000;3;4;14;0.318182;30;44
NsP Považská Bystrica;2020-11-16;Trenčiansky kraj;Okres Považská Bystrica;Považská Bystrica;P50945196101;2;0.014815;43;135;55;1.000000;0;55;0;0.000000;0;0;0;0.000000;3;3;1;0.250000;3;4;4;0.666667;2;6;62;0.305419;51;203
NsP Prievidza so s. v Bojniciach;2020-11-16;Trenčiansky kraj;Okres Prievidza;Bojnice;P51373009101;20;0.666667;10;30;24;0.960000;1;25;0;0.000000;2;2;0;0.000000;0;0;3;0.750000;1;4;0;0.000000;0;0;47;0.770492;14;61
NsP Š. Kukuru Michalovce;2020-11-16;Košický kraj;Okres Michalovce;Michalovce;P66599002101;2;0.166667;10;12;21;0.512195;20;41;3;0.750000;1;4;0;0.000000;0;0;0;0.000000;0;0;4;0.500000;0;8;30;0.461538;31;65
NsP Spišská Nová Ves;2020-11-16;Košický kraj;Okres Spišská Nová Ves;Spišská Nová Ves;P36605013101;7;0.184211;6;38;24;1.000000;0;24;0;0.000000;0;1;0;0.000000;0;1;2;1.000000;0;2;0;0.000000;0;0;33;0.500000;6;66
NsP sv. Jakuba Bardejov;2020-11-16;Prešovský kraj;Okres Bardejov;Bardejov;N84209025101;0;0.000000;4;4;19;0.475000;21;40;1;0.250000;3;4;2;0.666667;1;3;0;0.000000;0;0;4;1.000000;0;4;26;0.472727;29;55
NsP sv. Lukáša Galanta;2020-11-16;Trnavský kraj;Okres Galanta;Galanta;P80747196101;0;0.000000;0;23;14;0.777778;3;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;3;0.600000;0;5;17;0.369565;3;46
NsP Trebišov;2020-11-16;Košický kraj;Okres Trebišov;Trebišov;P81577014101;10;0.285714;25;35;9;0.900000;1;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;19;0.413043;27;46
NÚDCH Bratislava;2020-11-16;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P43059323101;0;0.000000;0;0;0;0.000000;24;24;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;10;10;0;0.000000;34;34
NÚSCH Bratislava;2020-11-16;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P70249278103;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NÚTPCHaHCH Vyšné Hágy;2020-11-16;Prešovský kraj;Okres Poprad;Vysoké Tatry;N92999012101;0;0.000000;0;0;21;0.750000;7;28;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;1;1.000000;0;1;24;0.774194;7;31
OÚ sv. Alžbety Bratislava;2020-11-16;Bratislavský kraj;Okres Bratislava I;Bratislava - Staré Mesto;P31683229101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Psych. n. P. Pinela Pezinok;2020-11-16;Bratislavský kraj;Okres Pezinok;Pezinok;P56642005101;0;0.000000;45;45;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;45;45
Psych. n. prof. Matulaya Kremnica;2020-11-16;Banskobystrický kraj;Okres Žiar nad Hronom;Kremnica;N27005105102;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Psych. n. Veľké Zálužie;2020-11-16;Nitriansky kraj;Okres Nitra;Veľké Zálužie;P19393005101;59;1.000000;0;59;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;59;1.000000;0;59
SÚSÚSCCH Banská Bystrica;2020-11-16;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;P35968069101;0;0.000000;0;0;2;0.153846;11;13;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;0;0.000000;13;13;2;0.071429;26;28
Svet zdravia Rimavská Sobota;2020-11-16;Banskobystrický kraj;Okres Rimavská Sobota;Rimavská Sobota;P83216196102;0;0.000000;12;12;19;0.791667;5;24;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;19;0.500000;19;38
Svet zdravia Topoľčany;2020-11-16;Nitriansky kraj;Okres Topoľčany;Topoľčany;P59688205101;0;0.000000;14;14;9;0.750000;3;12;2;1.000000;0;2;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;13;0.433333;17;30
Svet zdravia Žiar nad Hronom;2020-11-16;Banskobystrický kraj;Okres Žiar nad Hronom;Žiar nad Hronom;P83216007101;0;0.000000;0;0;10;0.555556;8;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;11;0.578947;8;19
UN L. Pasteura Košice;2020-11-16;Košický kraj;Okres Košice IV;Košice - Juh;P77017002101;0;0.000000;3;3;49;0.462264;57;106;1;0.111111;8;9;3;0.300000;7;10;0;0.000000;2;2;0;0.000000;17;17;53;0.360544;94;147
UN Martin;2020-11-16;Žilinský kraj;Okres Martin;Martin;P38811002101;0;0.000000;11;25;57;0.548077;28;104;0;0.000000;0;0;6;0.300000;8;20;9;0.750000;3;12;0;0.000000;1;1;72;0.444444;51;162
UNB - akad. L. Dérera;2020-11-16;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P40707002101;0;0.000000;12;12;48;0.466019;11;103;0;0.000000;0;0;6;0.400000;0;15;0;0.000000;0;0;5;1.000000;0;5;59;0.437037;23;135
UNB - Ružinov;2020-11-16;Bratislavský kraj;Okres Bratislava II;Bratislava - Ružinov;P40707025101;0;0.000000;0;0;19;0.463415;2;41;5;0.500000;0;10;2;0.400000;0;5;0;0.000000;0;0;7;0.437500;0;16;33;0.458333;2;72
UNB - Staré Meso;2020-11-16;Bratislavský kraj;Okres Bratislava I;Bratislava - Staré Mesto;P40707025106;8;0.800000;2;10;0;0.000000;3;10;0;0.000000;0;0;0;0.000000;3;3;0;0.000000;0;1;0;0.000000;0;0;8;0.333333;8;24
UNB - sv. Cyrila a Metoda;2020-11-16;Bratislavský kraj;Okres Bratislava V;Bratislava - Petržalka;P40707025104;0;0.000000;0;0;7;0.700000;3;10;0;0.000000;0;0;2;0.666667;1;3;0;0.000000;0;3;2;0.666667;1;3;11;0.578947;5;19
ÚVN SNP Ružomberok;2020-11-16;Žilinský kraj;Okres Ružomberok;Ružomberok;P91151002101;22;0.500000;22;44;11;0.196429;45;56;0;0.000000;5;5;0;0.000000;0;0;4;0.250000;8;16;0;0.000000;0;0;37;0.305785;80;121
VOÚ Košice;2020-11-16;Košický kraj;Okres Košice IV;Košice - Juh;P76995046101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Vranovská nemocnica, Vranov nad Topľou;2020-11-16;Prešovský kraj;Okres Vranov nad Topľou;Vranov nad Topľou;P02824196101;0;0.000000;13;13;25;0.694444;11;36;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;26;0.509804;25;51
VšNsP Lučenec;2020-11-16;Banskobystrický kraj;Okres Lučenec;Lučenec;N50139002101;0;0.000000;36;36;17;0.278689;44;61;0;0.000000;0;0;0;0.000000;0;0;2;0.400000;3;5;0;0.000000;0;0;19;0.186275;83;102
VÚSCH Košice;2020-11-16;Košický kraj;Okres Košice II;Košice - Západ;P89851025101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP sv. Barbory Rožňava;2020-11-16;Košický kraj;Okres Rožňava;Rožňava;P85363027101;2;0.057143;33;35;3;0.375000;5;8;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;5;0.113636;39;44
AGEL Krompachy;2020-11-16;Košický kraj;Okres Spišská Nová Ves;Krompachy;P22041202101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP Revúca;2020-11-16;Banskobystrický kraj;Okres Revúca;Revúca;P88780001101;0;0.000000;13;13;0;0.000000;10;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;0;0.000000;25;25
Psych. n. Hronovce;2020-11-16;Nitriansky kraj;Okres Levice;Hronovce;P28247005102;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
AGEL Komárno;2020-11-17;Nitriansky kraj;Okres Komárno;Komárno;P77941001101;0;0.000000;2;2;27;0.900000;3;30;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;0;0.000000;1;1;29;0.828571;6;35
AGEL Levice;2020-11-17;Nitriansky kraj;Okres Levice;Levice;P01675196101;0;0.000000;21;21;14;0.583333;10;24;0;0.000000;5;5;0;0.000000;0;0;0;0.000000;0;0;3;0.600000;2;5;17;0.309091;38;55
AGEL Levoča;2020-11-17;Prešovský kraj;Okres Levoča;Levoča;P76239015101;16;0.207792;3;77;8;0.307692;3;26;0;0.000000;0;7;0;0.000000;0;0;0;0.000000;0;0;3;0.750000;1;4;27;0.236842;7;114
AGEL Zlaté Moravce;2020-11-17;Nitriansky kraj;Okres Zlaté Moravce;Zlaté Moravce;P38629010101;4;1.000000;0;4;8;0.533333;0;15;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;12;0.600000;1;20
AGEL Zvolen, pr. Krupina;2020-11-17;Banskobystrický kraj;Okres Krupina;Krupina;P79469205101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
AGEL Zvolen, pr. Zvolen;2020-11-17;Banskobystrický kraj;Okres Zvolen;Zvolen;P79469202101;0;0.000000;0;0;18;1.000000;0;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;19;0.950000;1;20
DFN Košice;2020-11-17;Košický kraj;Okres Košice II;Košice - Západ;P89483331101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;1;1
DFNsP Banská Bystrica;2020-11-17;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;N49813332101;0;0.000000;0;24;3;0.375000;5;8;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;3;0;0.000000;1;3;3;0.078947;7;38
DONsP Dolný Kubín;2020-11-17;Žilinský kraj;Okres Dolný Kubín;Dolný Kubín;P51283196101;0;0.000000;0;0;19;0.527778;17;36;0;0.000000;4;4;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;20;0.476190;22;42
FN Nitra;2020-11-17;Nitriansky kraj;Okres Nitra;Nitra;P85687002101;0;0.000000;80;80;60;0.487805;63;123;3;0.111111;24;27;3;0.375000;5;8;0;0.000000;10;10;6;0.500000;6;12;72;0.276923;188;260
FN Trenčín;2020-11-17;Trenčiansky kraj;Okres Trenčín;Trenčín;P42383002101;22;0.440000;28;50;43;0.661538;22;65;0;0.000000;0;0;0;0.000000;0;0;4;0.666667;2;6;6;0.600000;4;10;75;0.572519;56;131
FN Trnava;2020-11-17;Trnavský kraj;Okres Trnava;Trnava;P20979002101;20;0.588235;14;34;11;0.144737;65;76;0;0.000000;0;0;3;0.500000;3;6;0;0.000000;0;0;5;0.500000;5;10;39;0.309524;87;126
FNsP F.D. Roosevelta Banská Bystrica;2020-11-17;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;N42231002101;7;0.140000;43;50;20;0.571429;15;35;0;0.000000;2;2;0;0.000000;2;2;0;0.000000;0;0;9;0.900000;1;10;36;0.363636;63;99
FNSP J. A. Reimana Prešov;2020-11-17;Prešovský kraj;Okres Prešov;Prešov;N33067002101;0;0.000000;0;0;67;0.544715;56;123;6;0.428571;8;14;0;0.000000;0;0;0;0.000000;0;0;7;0.583333;5;12;80;0.536913;69;149
FNsP Nové Zámky;2020-11-17;Nitriansky kraj;Okres Nové Zámky;Nové Zámky;P81095025101;39;0.304688;0;128;20;0.400000;5;50;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;5;5;5;0.555556;4;9;64;0.333333;14;192
FNsP Skalica;2020-11-17;Trnavský kraj;Okres Skalica;Skalica;P81264051101;8;0.347826;15;23;12;0.571429;9;21;0;0.000000;0;3;0;0.000000;0;0;0;0.000000;0;0;4;0.666667;2;6;24;0.452830;26;53
FNsP Žilina;2020-11-17;Žilinský kraj;Okres Žilina;Žilina;N92725025101;8;0.108108;24;74;39;0.475610;26;82;0;0.000000;0;0;0;0.000000;0;0;8;0.800000;2;10;0;0.000000;0;0;55;0.331325;52;166
HONsP Trstená;2020-11-17;Žilinský kraj;Okres Tvrdošín;Trstená;P46405010101;0;0.000000;0;0;12;0.300000;26;40;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;1;0.333333;2;3;13;0.295455;29;44
KNsP Čadca;2020-11-17;Žilinský kraj;Okres Čadca;Čadca;N21149004101;42;0.954545;2;44;21;0.583333;15;36;2;0.500000;2;4;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;66;0.767442;20;86
LNsP MUDr. I. Stodolu Liptovský Mikuláš;2020-11-17;Žilinský kraj;Okres Liptovský Mikuláš;Liptovský Mikuláš;P66051013101;0;0.000000;0;0;12;0.315789;26;38;0;0.000000;1;1;0;0.000000;0;0;0;0.000000;0;0;1;0.333333;2;3;13;0.309524;29;42
Ľubovnianska nemocnica, Stará Ľubovňa;2020-11-17;Prešovský kraj;Okres Stará Ľubovňa;Stará Ľubovňa;N56229010101;2;0.333333;4;6;22;0.785714;6;28;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;2;0.500000;2;4;26;0.684211;12;38
N. A. Wintera, Piešťany;2020-11-17;Trnavský kraj;Okres Piešťany;Piešťany;P93083009101;13;0.650000;7;20;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;2;0.666667;1;3;0;0.000000;0;0;15;0.652174;8;23
N. arm. g. L. Svobodu Svidník;2020-11-17;Prešovský kraj;Okres Svidník;Svidník;P97554001101;7;0.700000;3;10;10;0.500000;10;20;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;2;0.500000;2;4;19;0.558824;15;34
Nemocnica A. Leňa Humenné;2020-11-17;Prešovský kraj;Okres Humenné;Humenné;P27233192101;15;0.555556;12;27;7;0.875000;1;8;6;0.600000;4;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;28;0.595745;19;47
Nemocnica Poprad;2020-11-17;Prešovský kraj;Okres Poprad;Poprad;N22001198101;0;0.000000;0;0;19;0.413043;19;46;0;0.000000;0;0;0;0.000000;0;0;2;0.500000;2;4;4;0.666667;0;6;25;0.446429;21;56
Nemocnica Snina;2020-11-17;Prešovský kraj;Okres Snina;Snina;N80847192101;15;0.937500;1;16;3;0.250000;9;12;0;0.000000;1;1;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;18;0.600000;12;30
NnoM Partizánske;2020-11-17;Trenčiansky kraj;Okres Partizánske;Partizánske;P63800205101;5;0.357143;9;14;8;0.800000;2;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;4;1.000000;0;4;17;0.607143;11;28
NRC Kováčová;2020-11-17;Banskobystrický kraj;Okres Zvolen;Kováčová;N55966027101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP Brezno;2020-11-17;Banskobystrický kraj;Okres Brezno;Brezno;N22399201101;16;1.000000;0;16;4;1.000000;0;4;1;1.000000;0;1;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;22;1.000000;0;22
Nsp Dunajská Streda;2020-11-17;Trnavský kraj;Okres Dunajská Streda;Dunajská Streda;P51102199101;9;0.900000;1;10;12;0.666667;6;18;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;0;0.000000;0;0;22;0.733333;8;30
NsP Ilava;2020-11-17;Trenčiansky kraj;Okres Ilava;Ilava;P87119205101;14;1.000000;0;14;6;1.000000;0;6;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;20;1.000000;0;20
NsP Myjava;2020-11-17;Trenčiansky kraj;Okres Myjava;Myjava;P82987007101;9;0.500000;9;18;7;0.318182;15;22;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;4;4;16;0.363636;28;44
NsP Považská Bystrica;2020-11-17;Trenčiansky kraj;Okres Považská Bystrica;Považská Bystrica;P50945196101;11;0.081481;34;135;55;1.000000;0;55;0;0.000000;0;0;0;0.000000;3;3;1;0.250000;3;4;4;0.666667;2;6;71;0.349754;42;203
NsP Prievidza so s. v Bojniciach;2020-11-17;Trenčiansky kraj;Okres Prievidza;Bojnice;P51373009101;24;0.800000;6;30;25;1.000000;0;25;0;0.000000;2;2;0;0.000000;0;0;3;0.750000;1;4;0;0.000000;0;0;52;0.852459;9;61
NsP Š. Kukuru Michalovce;2020-11-17;Košický kraj;Okres Michalovce;Michalovce;P66599002101;4;0.333333;8;12;20;0.487805;21;41;2;0.500000;2;4;0;0.000000;0;0;0;0.000000;0;0;4;0.500000;0;8;30;0.461538;31;65
NsP Spišská Nová Ves;2020-11-17;Košický kraj;Okres Spišská Nová Ves;Spišská Nová Ves;P36605013101;2;0.052632;11;38;22;0.916667;2;24;0;0.000000;0;1;0;0.000000;0;1;1;0.500000;1;2;0;0.000000;0;0;25;0.378788;14;66
NsP sv. Jakuba Bardejov;2020-11-17;Prešovský kraj;Okres Bardejov;Bardejov;N84209025101;0;0.000000;4;4;19;0.475000;21;40;1;0.250000;3;4;2;0.666667;1;3;0;0.000000;0;0;4;1.000000;0;4;26;0.472727;29;55
NsP sv. Lukáša Galanta;2020-11-17;Trnavský kraj;Okres Galanta;Galanta;P80747196101;0;0.000000;0;23;17;0.944444;0;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;3;1.000000;0;3;20;0.454545;0;44
NsP Trebišov;2020-11-17;Košický kraj;Okres Trebišov;Trebišov;P81577014101;7;0.200000;28;35;10;1.000000;0;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;17;0.369565;29;46
NÚDCH Bratislava;2020-11-17;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P43059323101;0;0.000000;0;0;0;0.000000;24;24;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;10;10;0;0.000000;34;34
NÚSCH Bratislava;2020-11-17;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P70249278103;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NÚTPCHaHCH Vyšné Hágy;2020-11-17;Prešovský kraj;Okres Poprad;Vysoké Tatry;N92999012101;0;0.000000;0;0;21;0.750000;7;28;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;1;1.000000;0;1;24;0.774194;7;31
OÚ sv. Alžbety Bratislava;2020-11-17;Bratislavský kraj;Okres Bratislava I;Bratislava - Staré Mesto;P31683229101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Psych. n. P. Pinela Pezinok;2020-11-17;Bratislavský kraj;Okres Pezinok;Pezinok;P56642005101;0;0.000000;45;45;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;45;45
Psych. n. prof. Matulaya Kremnica;2020-11-17;Banskobystrický kraj;Okres Žiar nad Hronom;Kremnica;N27005105102;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Psych. n. Veľké Zálužie;2020-11-17;Nitriansky kraj;Okres Nitra;Veľké Zálužie;P19393005101;59;1.000000;0;59;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;59;1.000000;0;59
SÚSÚSCCH Banská Bystrica;2020-11-17;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;P35968069101;0;0.000000;0;0;2;0.153846;11;13;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;0;0.000000;13;13;2;0.071429;26;28
Svet zdravia Rimavská Sobota;2020-11-17;Banskobystrický kraj;Okres Rimavská Sobota;Rimavská Sobota;P83216196102;0;0.000000;12;12;18;0.750000;6;24;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;18;0.473684;20;38
Svet zdravia Topoľčany;2020-11-17;Nitriansky kraj;Okres Topoľčany;Topoľčany;P59688205101;0;0.000000;14;14;10;0.833333;2;12;0;0.000000;2;2;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;12;0.400000;18;30
Svet zdravia Žiar nad Hronom;2020-11-17;Banskobystrický kraj;Okres Žiar nad Hronom;Žiar nad Hronom;P83216007101;0;0.000000;0;0;9;0.500000;9;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;10;0.526316;9;19
UN L. Pasteura Košice;2020-11-17;Košický kraj;Okres Košice IV;Košice - Juh;P77017002101;0;0.000000;3;3;50;0.471698;56;106;7;0.777778;2;9;5;0.500000;5;10;2;1.000000;0;2;0;0.000000;17;17;64;0.435374;83;147
UN Martin;2020-11-17;Žilinský kraj;Okres Martin;Martin;P38811002101;0;0.000000;11;25;55;0.528846;30;104;0;0.000000;0;0;6;0.300000;8;20;8;0.666667;4;12;0;0.000000;1;1;69;0.425926;54;162
UNB - akad. L. Dérera;2020-11-17;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P40707002101;0;0.000000;12;12;53;0.514563;9;103;0;0.000000;0;0;5;0.333333;1;15;0;0.000000;0;0;3;0.600000;2;5;61;0.451852;24;135
UNB - Ružinov;2020-11-17;Bratislavský kraj;Okres Bratislava II;Bratislava - Ružinov;P40707025101;0;0.000000;0;0;48;1.170732;-12;41;5;0.500000;0;10;1;0.200000;1;5;0;0.000000;0;0;5;0.312500;2;16;59;0.819444;-9;72
UNB - Staré Meso;2020-11-17;Bratislavský kraj;Okres Bratislava I;Bratislava - Staré Mesto;P40707025106;7;0.700000;3;10;0;0.000000;3;10;0;0.000000;0;0;0;0.000000;3;3;0;0.000000;0;1;0;0.000000;0;0;7;0.291667;9;24
UNB - sv. Cyrila a Metoda;2020-11-17;Bratislavský kraj;Okres Bratislava V;Bratislava - Petržalka;P40707025104;0;0.000000;0;0;9;0.900000;1;10;0;0.000000;0;0;2;0.666667;1;3;0;0.000000;0;3;2;0.666667;1;3;13;0.684211;3;19
ÚVN SNP Ružomberok;2020-11-17;Žilinský kraj;Okres Ružomberok;Ružomberok;P91151002101;21;0.477273;23;44;11;0.196429;45;56;0;0.000000;5;5;0;0.000000;0;0;4;0.250000;8;16;0;0.000000;0;0;36;0.297521;81;121
VOÚ Košice;2020-11-17;Košický kraj;Okres Košice IV;Košice - Juh;P76995046101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Vranovská nemocnica, Vranov nad Topľou;2020-11-17;Prešovský kraj;Okres Vranov nad Topľou;Vranov nad Topľou;P02824196101;0;0.000000;13;13;18;0.500000;18;36;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;19;0.372549;32;51
VšNsP Lučenec;2020-11-17;Banskobystrický kraj;Okres Lučenec;Lučenec;N50139002101;0;0.000000;36;36;19;0.311475;42;61;0;0.000000;0;0;0;0.000000;0;0;2;0.400000;3;5;0;0.000000;0;0;21;0.205882;81;102
VÚSCH Košice;2020-11-17;Košický kraj;Okres Košice II;Košice - Západ;P89851025101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP sv. Barbory Rožňava;2020-11-17;Košický kraj;Okres Rožňava;Rožňava;P85363027101;2;0.057143;33;35;3;0.375000;5;8;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;5;0.113636;39;44
AGEL Krompachy;2020-11-17;Košický kraj;Okres Spišská Nová Ves;Krompachy;P22041202101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP Revúca;2020-11-17;Banskobystrický kraj;Okres Revúca;Revúca;P88780001101;0;0.000000;13;13;0;0.000000;10;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;0;0.000000;25;25
Psych. n. Hronovce;2020-11-17;Nitriansky kraj;Okres Levice;Hronovce;P28247005102;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
AGEL Komárno;2020-11-18;Nitriansky kraj;Okres Komárno;Komárno;P77941001101;0;0.000000;2;2;27;0.900000;3;30;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;0;0.000000;1;1;29;0.828571;6;35
AGEL Levice;2020-11-18;Nitriansky kraj;Okres Levice;Levice;P01675196101;0;0.000000;21;21;14;0.583333;10;24;0;0.000000;5;5;0;0.000000;0;0;0;0.000000;0;0;3;0.600000;2;5;17;0.309091;38;55
AGEL Levoča;2020-11-18;Prešovský kraj;Okres Levoča;Levoča;P76239015101;18;0.233766;1;77;8;0.307692;3;26;0;0.000000;0;7;0;0.000000;0;0;0;0.000000;0;0;4;1.000000;0;4;30;0.263158;4;114
AGEL Zlaté Moravce;2020-11-18;Nitriansky kraj;Okres Zlaté Moravce;Zlaté Moravce;P38629010101;4;1.000000;0;4;8;0.533333;0;15;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;12;0.600000;1;20
AGEL Zvolen, pr. Krupina;2020-11-18;Banskobystrický kraj;Okres Krupina;Krupina;P79469205101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
