"Date";"District";"PCR_Pos";"PCR_Neg";"PCR_Total"
2021-01-15;"Okres Bratislava IV";31;241;272
2021-01-15;"Okres Bratislava V";36;283;319
2021-01-15;"Okres Brezno";9;57;66
2021-01-15;"Okres Bytča";9;34;43
2021-01-15;"Okres Čadca";22;86;108
2021-01-15;"Okres Detva";10;38;48
2021-01-15;"Okres Dolný Kubín";2;32;34
2021-01-15;"Okres Dunajská Streda";58;170;228
2021-01-15;"Okres Galanta";51;151;202
2021-01-15;"Okres Gelnica";12;42;54
2021-01-15;"Okres Hlohovec";19;57;76
2021-01-15;"Okres Humenné";5;30;35
2021-01-15;"Okres Ilava";53;128;181
2021-01-15;"Okres Kežmarok";8;71;79
2021-01-15;"Okres Komárno";30;69;99
2021-01-15;"Okres Košice - okolie";77;193;270
2021-01-15;"Okres Košice I";12;30;42
2021-01-15;"Okres Košice II";20;38;58
2021-01-15;"Okres Košice III";4;16;20
2021-01-15;"Okres Košice IV";8;16;24
2021-01-15;"Okres Krupina";4;30;34
2021-01-15;"Okres Kysucké Nové Mesto";3;25;28
2021-01-15;"Okres Levice";56;256;312
2021-01-15;"Okres Levoča";5;30;35
2021-01-15;"Okres Liptovský Mikuláš";57;120;177
2021-01-15;"Okres Lučenec";1;24;25
2021-01-15;"Okres Malacky";27;119;146
2021-01-15;"Okres Martin";37;120;157
2021-01-15;"Okres Medzilaborce";0;5;5
2021-01-15;"Okres Michalovce";18;93;111
2021-01-15;"Okres Myjava";5;53;58
2021-01-15;"Okres Námestovo";7;118;125
2021-01-15;"Okres Nitra";41;173;214
2021-01-15;"Okres Nové Mesto nad Váhom";18;76;94
2021-01-15;"Okres Nové Zámky";71;138;209
2021-01-15;"Okres Partizánske";25;39;64
2021-01-15;"Okres Pezinok";29;110;139
2021-01-15;"Okres Piešťany";30;81;111
2021-01-15;"Okres Poltár";1;6;7
2021-01-15;"Okres Poprad";35;135;170
2021-01-15;"Okres Považská Bystrica";32;110;142
2021-01-15;"Okres Prešov";60;353;413
2021-01-15;"Okres Prievidza";49;129;178
2021-01-15;"Okres Púchov";26;70;96
2021-01-15;"Okres Revúca";8;38;46
2021-01-15;"Okres Rimavská Sobota";35;90;125
2021-01-15;"Okres Rožňava";11;31;42
2021-01-15;"Okres Ružomberok";29;103;132
2021-01-15;"Okres Sabinov";20;111;131
2021-01-15;"Okres Senec";24;177;201
2021-01-15;"Okres Senica";27;62;89
2021-01-15;"Okres Skalica";5;37;42
2021-01-15;"Okres Snina";2;29;31
2021-01-15;"Okres Sobrance";5;28;33
2021-01-15;"Okres Spišská Nová Ves";41;182;223
2021-01-15;"Okres Stará Ľubovňa";14;105;119
2021-01-15;"Okres Stropkov";0;6;6
2021-01-15;"Okres Svidník";0;20;20
2021-01-15;"Okres Šaľa";26;60;86
2021-01-15;"Okres Topoľčany";40;81;121
2021-01-15;"Okres Trebišov";44;133;177
2021-01-15;"Okres Trenčín";52;211;263
2021-01-15;"Okres Trnava";68;272;340
2021-01-15;"Okres Turčianske Teplice";13;24;37
2021-01-15;"Okres Tvrdošín";7;69;76
2021-01-15;"Okres Veľký Krtíš";1;20;21
2021-01-15;"Okres Vranov nad Topľou";15;76;91
2021-01-15;"Okres Zlaté Moravce";17;44;61
2021-01-15;"Okres Zvolen";13;144;157
2021-01-15;"Okres Žarnovica";10;36;46
2021-01-15;"Okres Žiar nad Hronom";30;100;130
2021-01-15;"Okres Žilina";46;239;285
2021-01-15;NA;71;364;435
2021-01-14;"Neznáme";319;871;1190
2021-01-14;"Okres Bánovce nad Bebravou";8;26;34
2021-01-14;"Okres Banská Bystrica";61;256;317
2021-01-14;"Okres Banská Štiavnica";2;12;14
2021-01-14;"Okres Bardejov";22;132;154
2021-01-14;"Okres Bratislava I";35;175;210
2021-01-14;"Okres Bratislava II";62;259;321
2021-01-14;"Okres Bratislava III";55;256;311
2021-01-14;"Okres Bratislava IV";45;233;278
2021-01-14;"Okres Bratislava V";55;222;277
2021-01-14;"Okres Brezno";12;22;34
2021-01-14;"Okres Bytča";6;19;25
2021-01-14;"Okres Čadca";28;72;100
2021-01-14;"Okres Detva";12;54;66
2021-01-14;"Okres Dolný Kubín";3;29;32
2021-01-14;"Okres Dunajská Streda";87;215;302
2021-01-14;"Okres Galanta";59;168;227
2021-01-14;"Okres Gelnica";10;21;31
