"";"datum";"district";"region";"covid";"pocet"
"210";2021-06-30;"PE";"TN";"non_covid";13
"211";2021-06-30;"PK";"BA";"non_covid";12
"212";2021-06-30;"PN";"TT";"non_covid";10
"213";2021-06-30;"PO";"PO";"non_covid";74
"214";2021-06-30;"PP";"PO";"non_covid";45
"215";2021-06-30;"PT";"BB";"non_covid";7
"216";2021-06-30;"PU";"TN";"covid";1
"217";2021-06-30;"PU";"TN";"non_covid";10
"218";2021-06-30;"RA";"BB";"non_covid";13
"219";2021-06-30;"RK";"ZA";"non_covid";12
"220";2021-06-30;"RS";"BB";"non_covid";17
"221";2021-06-30;"RV";"KE";"non_covid";26
"222";2021-06-30;"SA";"NR";"non_covid";13
"223";2021-06-30;"SB";"PO";"non_covid";19
"224";2021-06-30;"SC";"BA";"non_covid";17
"225";2021-06-30;"SE";"TT";"non_covid";12
"226";2021-06-30;"SI";"TT";"non_covid";9
"227";2021-06-30;"SK";"PO";"non_covid";5
"228";2021-06-30;"SL";"PO";"non_covid";11
"229";2021-06-30;"SN";"KE";"non_covid";19
"230";2021-06-30;"SO";"KE";"non_covid";7
"231";2021-06-30;"SP";"PO";"non_covid";10
"232";2021-06-30;"SV";"PO";"non_covid";11
"233";2021-06-30;"TN";"TN";"non_covid";27
"234";2021-06-30;"TO";"NR";"non_covid";11
"235";2021-06-30;"TR";"ZA";"non_covid";4
"236";2021-06-30;"TS";"ZA";"non_covid";4
"237";2021-06-30;"TT";"TT";"non_covid";38
"238";2021-06-30;"TV";"KE";"covid";1
"239";2021-06-30;"TV";"KE";"non_covid";46
"240";2021-06-30;"VK";"BB";"non_covid";8
"241";2021-06-30;"VT";"PO";"covid";1
"242";2021-06-30;"VT";"PO";"non_covid";15
"243";2021-06-30;"ZA";"ZA";"covid";1
"244";2021-06-30;"ZA";"ZA";"non_covid";51
"245";2021-06-30;"ZC";"BB";"non_covid";13
"246";2021-06-30;"ZH";"BB";"non_covid";14
"247";2021-06-30;"ZM";"NR";"non_covid";6
"248";2021-06-30;"ZV";"BB";"non_covid";24
"249";2021-06-30;NA;"BA";"non_covid";30
"250";2021-06-30;NA;"BB";"non_covid";28
"251";2021-06-30;NA;"KE";"non_covid";27
"252";2021-06-30;NA;"NR";"non_covid";17
"253";2021-06-30;NA;"PO";"non_covid";24
"254";2021-06-30;NA;"TN";"non_covid";9
"255";2021-06-30;NA;"TT";"non_covid";15
"256";2021-06-30;NA;"ZA";"non_covid";19
"257";2021-07-01;"BA";"BA";"non_covid";104
"258";2021-07-01;"BB";"BB";"non_covid";18
"259";2021-07-01;"BJ";"PO";"non_covid";22
"260";2021-07-01;"BN";"TN";"non_covid";7
"261";2021-07-01;"BR";"BB";"non_covid";21
"262";2021-07-01;"BS";"BB";"non_covid";6
"263";2021-07-01;"BY";"ZA";"non_covid";5
"264";2021-07-01;"CA";"ZA";"non_covid";17
"265";2021-07-01;"DK";"ZA";"non_covid";8
"266";2021-07-01;"DS";"TT";"non_covid";33
"267";2021-07-01;"DT";"BB";"non_covid";12
"268";2021-07-01;"GA";"TT";"covid";1
"269";2021-07-01;"GA";"TT";"non_covid";29
"270";2021-07-01;"GL";"KE";"non_covid";12
"271";2021-07-01;"HC";"TT";"non_covid";14
"272";2021-07-01;"HE";"PO";"covid";2
"273";2021-07-01;"HE";"PO";"non_covid";11
"274";2021-07-01;"IL";"TN";"non_covid";23
"275";2021-07-01;"KA";"BB";"non_covid";3
"276";2021-07-01;"KE";"KE";"non_covid";55
"277";2021-07-01;"KK";"PO";"non_covid";30
"278";2021-07-01;"KM";"ZA";"non_covid";9
"279";2021-07-01;"KN";"NR";"non_covid";19
"280";2021-07-01;"KS";"KE";"covid";1
"281";2021-07-01;"KS";"KE";"non_covid";34
"282";2021-07-01;"LC";"BB";"non_covid";22
"283";2021-07-01;"LE";"PO";"non_covid";8
"284";2021-07-01;"LM";"ZA";"non_covid";21
"285";2021-07-01;"LV";"NR";"covid";1
"286";2021-07-01;"LV";"NR";"non_covid";25
"287";2021-07-01;"MA";"BA";"non_covid";17
"288";2021-07-01;"MI";"KE";"non_covid";44
"289";2021-07-01;"ML";"PO";"non_covid";5
"290";2021-07-01;"MT";"ZA";"non_covid";23
"291";2021-07-01;"MY";"TN";"non_covid";3
"292";2021-07-01;"NM";"TN";"non_covid";25
"293";2021-07-01;"NO";"ZA";"non_covid";14
"294";2021-07-01;"NR";"NR";"non_covid";29
"295";2021-07-01;"NZ";"NR";"non_covid";24
"296";2021-07-01;"PB";"TN";"covid";1
"297";2021-07-01;"PB";"TN";"non_covid";21
"298";2021-07-01;"PD";"TN";"non_covid";40
"299";2021-07-01;"PE";"TN";"non_covid";9
"300";2021-07-01;"PK";"BA";"non_covid";18
"301";2021-07-01;"PN";"TT";"non_covid";16
"302";2021-07-01;"PO";"PO";"non_covid";64
"303";2021-07-01;"PP";"PO";"non_covid";38
"304";2021-07-01;"PT";"BB";"non_covid";3
"305";2021-07-01;"PU";"TN";"non_covid";15
"306";2021-07-01;"RA";"BB";"non_covid";8
"307";2021-07-01;"RK";"ZA";"non_covid";18
"308";2021-07-01;"RS";"BB";"non_covid";26
"309";2021-07-01;"RV";"KE";"non_covid";10
"310";2021-07-01;"SA";"NR";"non_covid";13
"311";2021-07-01;"SB";"PO";"non_covid";15
"312";2021-07-01;"SC";"BA";"non_covid";26
"313";2021-07-01;"SE";"TT";"non_covid";10
"314";2021-07-01;"SI";"TT";"non_covid";7
"315";2021-07-01;"SK";"PO";"non_covid";2
"316";2021-07-01;"SL";"PO";"non_covid";16
"317";2021-07-01;"SN";"KE";"non_covid";32
"318";2021-07-01;"SO";"KE";"non_covid";7
"319";2021-07-01;"SP";"PO";"non_covid";8
"320";2021-07-01;"SV";"PO";"non_covid";9
"321";2021-07-01;"TN";"TN";"non_covid";27
"322";2021-07-01;"TO";"NR";"non_covid";12
"323";2021-07-01;"TR";"ZA";"non_covid";4
"324";2021-07-01;"TS";"ZA";"non_covid";3
"325";2021-07-01;"TT";"TT";"non_covid";38
"326";2021-07-01;"TV";"KE";"non_covid";47
"327";2021-07-01;"VK";"BB";"non_covid";4
"328";2021-07-01;"VT";"PO";"non_covid";31
"329";2021-07-01;"ZA";"ZA";"non_covid";41
"330";2021-07-01;"ZC";"BB";"non_covid";9
"331";2021-07-01;"ZH";"BB";"non_covid";12
"332";2021-07-01;"ZM";"NR";"non_covid";3
"333";2021-07-01;"ZV";"BB";"non_covid";17
"334";2021-07-01;NA;"BA";"covid";1
"335";2021-07-01;NA;"BA";"non_covid";33
"336";2021-07-01;NA;"BB";"non_covid";20
"337";2021-07-01;NA;"KE";"non_covid";16
"338";2021-07-01;NA;"NR";"non_covid";16
"339";2021-07-01;NA;"PO";"non_covid";23
"340";2021-07-01;NA;"TN";"covid";2
"341";2021-07-01;NA;"TN";"non_covid";12
"342";2021-07-01;NA;"TT";"non_covid";4
"343";2021-07-01;NA;"ZA";"non_covid";16
"344";2021-07-02;"BA";"BA";"non_covid";92
"345";2021-07-02;"BB";"BB";"non_covid";31
"346";2021-07-02;"BJ";"PO";"non_covid";25
"347";2021-07-02;"BN";"TN";"non_covid";5
"348";2021-07-02;"BR";"BB";"non_covid";14
"349";2021-07-02;"BS";"BB";"non_covid";5
"350";2021-07-02;"BY";"ZA";"non_covid";12
"351";2021-07-02;"CA";"ZA";"non_covid";19
"352";2021-07-02;"DK";"ZA";"non_covid";2
"353";2021-07-02;"DS";"TT";"non_covid";28
"354";2021-07-02;"DT";"BB";"non_covid";6
"355";2021-07-02;"GA";"TT";"covid";1
"356";2021-07-02;"GA";"TT";"non_covid";14
"357";2021-07-02;"GL";"KE";"non_covid";18
"358";2021-07-02;"HC";"TT";"non_covid";22
"359";2021-07-02;"HE";"PO";"non_covid";12
"360";2021-07-02;"IL";"TN";"non_covid";19
"361";2021-07-02;"KA";"BB";"non_covid";7
"362";2021-07-02;"KE";"KE";"non_covid";63
"363";2021-07-02;"KK";"PO";"non_covid";18
"364";2021-07-02;"KM";"ZA";"non_covid";11
"365";2021-07-02;"KN";"NR";"non_covid";16
"366";2021-07-02;"KS";"KE";"non_covid";31
"367";2021-07-02;"LC";"BB";"non_covid";28
"368";2021-07-02;"LE";"PO";"non_covid";11
"369";2021-07-02;"LM";"ZA";"non_covid";30
"370";2021-07-02;"LV";"NR";"non_covid";21
"371";2021-07-02;"MA";"BA";"non_covid";10
"372";2021-07-02;"MI";"KE";"non_covid";47
"373";2021-07-02;"ML";"PO";"non_covid";5
"374";2021-07-02;"MT";"ZA";"non_covid";25
"375";2021-07-02;"MY";"TN";"non_covid";7
"376";2021-07-02;"NM";"TN";"non_covid";10
"377";2021-07-02;"NO";"ZA";"non_covid";16
"378";2021-07-02;"NR";"NR";"non_covid";34
"379";2021-07-02;"NZ";"NR";"non_covid";26
"380";2021-07-02;"PB";"TN";"non_covid";18
"381";2021-07-02;"PD";"TN";"non_covid";34
"382";2021-07-02;"PE";"TN";"non_covid";13
"383";2021-07-02;"PK";"BA";"non_covid";20
"384";2021-07-02;"PN";"TT";"non_covid";17
"385";2021-07-02;"PO";"PO";"non_covid";48
"386";2021-07-02;"PP";"PO";"non_covid";36
"387";2021-07-02;"PT";"BB";"non_covid";7
"388";2021-07-02;"PU";"TN";"non_covid";12
"389";2021-07-02;"RA";"BB";"non_covid";10
"390";2021-07-02;"RK";"ZA";"non_covid";15
"391";2021-07-02;"RS";"BB";"non_covid";28
"392";2021-07-02;"RV";"KE";"non_covid";20
"393";2021-07-02;"SA";"NR";"non_covid";13
"394";2021-07-02;"SB";"PO";"non_covid";18
"395";2021-07-02;"SC";"BA";"non_covid";29
"396";2021-07-02;"SE";"TT";"non_covid";19
"397";2021-07-02;"SI";"TT";"non_covid";11
"398";2021-07-02;"SK";"PO";"non_covid";8
"399";2021-07-02;"SL";"PO";"non_covid";12
"400";2021-07-02;"SN";"KE";"non_covid";28
"401";2021-07-02;"SO";"KE";"non_covid";12
"402";2021-07-02;"SP";"PO";"non_covid";13
"403";2021-07-02;"SV";"PO";"non_covid";12
"404";2021-07-02;"TN";"TN";"non_covid";30
"405";2021-07-02;"TO";"NR";"non_covid";10
"406";2021-07-02;"TR";"ZA";"non_covid";5
"407";2021-07-02;"TS";"ZA";"non_covid";5
"408";2021-07-02;"TT";"TT";"non_covid";25
"409";2021-07-02;"TV";"KE";"non_covid";36
"410";2021-07-02;"VK";"BB";"non_covid";10
"411";2021-07-02;"VT";"PO";"non_covid";18
"412";2021-07-02;"ZA";"ZA";"covid";1
"413";2021-07-02;"ZA";"ZA";"non_covid";52
"414";2021-07-02;"ZC";"BB";"non_covid";8
"415";2021-07-02;"ZH";"BB";"non_covid";12
"416";2021-07-02;"ZM";"NR";"non_covid";7
"417";2021-07-02;"ZV";"BB";"non_covid";16
"418";2021-07-02;NA;"BA";"non_covid";31
"419";2021-07-02;NA;"BB";"non_covid";38
"420";2021-07-02;NA;"KE";"non_covid";15
"421";2021-07-02;NA;"NR";"non_covid";23
"422";2021-07-02;NA;"PO";"non_covid";21
"423";2021-07-02;NA;"TN";"non_covid";16
"424";2021-07-02;NA;"TT";"non_covid";14
"425";2021-07-02;NA;"ZA";"non_covid";18
"426";2021-07-03;"BA";"BA";"non_covid";113
"427";2021-07-03;"BB";"BB";"non_covid";22
"428";2021-07-03;"BJ";"PO";"non_covid";17
"429";2021-07-03;"BN";"TN";"non_covid";12
"430";2021-07-03;"BR";"BB";"non_covid";15
"431";2021-07-03;"BS";"BB";"non_covid";5
"432";2021-07-03;"BY";"ZA";"non_covid";10
"433";2021-07-03;"CA";"ZA";"non_covid";22
"434";2021-07-03;"DK";"ZA";"non_covid";10
"435";2021-07-03;"DS";"TT";"non_covid";33
"436";2021-07-03;"DT";"BB";"non_covid";5
"437";2021-07-03;"GA";"TT";"non_covid";19
"438";2021-07-03;"GL";"KE";"non_covid";10
"439";2021-07-03;"HC";"TT";"non_covid";18
"440";2021-07-03;"HE";"PO";"non_covid";17
"441";2021-07-03;"IL";"TN";"non_covid";14
"442";2021-07-03;"KA";"BB";"non_covid";7
"443";2021-07-03;"KE";"KE";"non_covid";49
"444";2021-07-03;"KK";"PO";"non_covid";27
"445";2021-07-03;"KM";"ZA";"non_covid";11
"446";2021-07-03;"KN";"NR";"non_covid";26
"447";2021-07-03;"KS";"KE";"covid";1
"448";2021-07-03;"KS";"KE";"non_covid";37
"449";2021-07-03;"LC";"BB";"non_covid";33
"450";2021-07-03;"LE";"PO";"non_covid";7
"451";2021-07-03;"LM";"ZA";"non_covid";25
"452";2021-07-03;"LV";"NR";"non_covid";17
"453";2021-07-03;"MA";"BA";"non_covid";18
"454";2021-07-03;"MI";"KE";"non_covid";52
"455";2021-07-03;"ML";"PO";"non_covid";6
"456";2021-07-03;"MT";"ZA";"non_covid";25
"457";2021-07-03;"MY";"TN";"non_covid";6
"458";2021-07-03;"NM";"TN";"non_covid";9
"459";2021-07-03;"NO";"ZA";"non_covid";16
"460";2021-07-03;"NR";"NR";"non_covid";33
"461";2021-07-03;"NZ";"NR";"non_covid";23
"462";2021-07-03;"PB";"TN";"non_covid";11
"463";2021-07-03;"PD";"TN";"covid";1
"464";2021-07-03;"PD";"TN";"non_covid";35
"465";2021-07-03;"PE";"TN";"non_covid";13
"466";2021-07-03;"PK";"BA";"non_covid";17
"467";2021-07-03;"PN";"TT";"non_covid";17
"468";2021-07-03;"PO";"PO";"non_covid";67
