"";"Date";"Vaccinated";"age_group";"Admissions";"Discharges"
"2634";2020-11-14;NA;70;8;3
"2635";2020-11-14;NA;80;1;0
"2636";2020-11-13;NA;40;0;1
"2637";2020-11-13;NA;50;2;0
"2638";2020-11-13;NA;60;2;2
"2639";2020-11-13;NA;70;6;2
"2640";2020-11-13;NA;80;0;1
"2641";2020-11-13;NA;90;1;0
"2642";2020-11-13;NA;NA;1;0
"2643";2020-11-12;NA;40;2;2
"2644";2020-11-12;NA;50;0;2
"2645";2020-11-12;NA;60;6;5
"2646";2020-11-12;NA;70;5;3
"2647";2020-11-12;NA;80;1;1
"2648";2020-11-11;NA;30;0;1
"2649";2020-11-11;NA;40;0;1
"2650";2020-11-11;NA;50;0;2
"2651";2020-11-11;NA;60;3;4
"2652";2020-11-11;NA;70;6;4
"2653";2020-11-11;NA;80;2;3
"2654";2020-11-10;NA;50;2;2
"2655";2020-11-10;NA;60;3;3
"2656";2020-11-10;NA;70;4;7
"2657";2020-11-10;NA;80;0;2
"2658";2020-11-09;NA;40;0;1
"2659";2020-11-09;NA;50;1;0
"2660";2020-11-09;NA;60;3;2
"2661";2020-11-09;NA;70;6;4
"2662";2020-11-09;NA;80;1;2
"2663";2020-11-09;NA;90;1;0
"2664";2020-11-08;NA;30;0;1
"2665";2020-11-08;NA;40;0;1
"2666";2020-11-08;NA;50;3;2
"2667";2020-11-08;NA;60;1;3
"2668";2020-11-08;NA;70;3;5
"2669";2020-11-08;NA;80;0;1
"2670";2020-11-07;NA;40;2;0
"2671";2020-11-07;NA;50;1;2
"2672";2020-11-07;NA;60;4;2
"2673";2020-11-07;NA;70;5;3
"2674";2020-11-07;NA;80;1;1
"2675";2020-11-06;NA;30;0;1
"2676";2020-11-06;NA;40;1;1
"2677";2020-11-06;NA;50;1;0
"2678";2020-11-06;NA;60;7;2
"2679";2020-11-06;NA;70;3;0
"2680";2020-11-06;NA;80;1;0
"2681";2020-11-06;NA;90;0;1
"2682";2020-11-05;NA;40;0;1
"2683";2020-11-05;NA;50;5;3
"2684";2020-11-05;NA;60;6;5
"2685";2020-11-05;NA;70;7;2
"2686";2020-11-05;NA;80;1;0
"2687";2020-11-05;NA;90;1;0
"2688";2020-11-04;NA;50;2;3
"2689";2020-11-04;NA;60;2;2
"2690";2020-11-04;NA;70;3;3
"2691";2020-11-04;NA;80;1;1
"2692";2020-11-03;NA;30;1;0
"2693";2020-11-03;NA;60;1;2
"2694";2020-11-03;NA;70;6;3
"2695";2020-11-03;NA;80;2;1
"2696";2020-11-02;NA;10;0;1
"2697";2020-11-02;NA;30;1;1
"2698";2020-11-02;NA;40;0;1
"2699";2020-11-02;NA;50;3;5
"2700";2020-11-02;NA;60;6;5
"2701";2020-11-02;NA;70;4;4
"2702";2020-11-02;NA;80;2;3
"2703";2020-11-01;NA;40;1;0
"2704";2020-11-01;NA;50;2;1
"2705";2020-11-01;NA;60;4;5
"2706";2020-11-01;NA;70;4;3
"2707";2020-11-01;NA;80;1;0
"2708";2020-11-01;NA;990;0;1
"2709";2020-10-31;NA;30;1;0
"2710";2020-10-31;NA;40;1;0
"2711";2020-10-31;NA;50;1;0
"2712";2020-10-31;NA;60;6;5
"2713";2020-10-31;NA;70;3;3
"2714";2020-10-31;NA;80;1;2
"2715";2020-10-30;NA;40;0;2
"2716";2020-10-30;NA;50;1;2
"2717";2020-10-30;NA;60;2;1
"2718";2020-10-30;NA;70;3;6
"2719";2020-10-30;NA;80;2;0
"2720";2020-10-29;NA;40;0;1
"2721";2020-10-29;NA;50;0;5
"2722";2020-10-29;NA;60;1;3
"2723";2020-10-29;NA;70;4;8
"2724";2020-10-29;NA;80;2;0
"2725";2020-10-29;NA;NA;1;0
"2726";2020-10-28;NA;20;1;0
"2727";2020-10-28;NA;30;0;1
"2728";2020-10-28;NA;50;7;2
"2729";2020-10-28;NA;60;3;3
"2730";2020-10-28;NA;70;6;5
"2731";2020-10-28;NA;80;0;1
"2732";2020-10-27;NA;40;2;0
"2733";2020-10-27;NA;50;4;1
"2734";2020-10-27;NA;60;6;1
"2735";2020-10-27;NA;70;5;3
"2736";2020-10-27;NA;90;1;1
"2737";2020-10-26;NA;10;1;0
"2738";2020-10-26;NA;30;0;1
"2739";2020-10-26;NA;40;0;1
"2740";2020-10-26;NA;50;0;3
"2741";2020-10-26;NA;60;2;3
"2742";2020-10-26;NA;70;4;4
"2743";2020-10-26;NA;80;1;1
"2744";2020-10-25;NA;10;0;1
"2745";2020-10-25;NA;40;1;2
"2746";2020-10-25;NA;60;5;3
"2747";2020-10-25;NA;70;0;4
"2748";2020-10-25;NA;80;2;1
"2749";2020-10-24;NA;10;1;0
"2750";2020-10-24;NA;30;1;0
"2751";2020-10-24;NA;40;2;0
"2752";2020-10-24;NA;50;1;0
"2753";2020-10-24;NA;60;4;0
"2754";2020-10-24;NA;70;5;0
"2755";2020-10-24;NA;80;1;0
"2756";2020-10-23;NA;30;1;1
"2757";2020-10-23;NA;50;3;1
"2758";2020-10-23;NA;60;4;1
"2759";2020-10-23;NA;70;8;1
"2760";2020-10-23;NA;80;2;1
"2761";2020-10-22;NA;40;1;2
"2762";2020-10-22;NA;50;4;0
"2763";2020-10-22;NA;60;4;2
"2764";2020-10-22;NA;70;2;0
"2765";2020-10-22;NA;80;2;3
"2766";2020-10-21;NA;20;0;1
"2767";2020-10-21;NA;50;1;2
"2768";2020-10-21;NA;60;6;6
"2769";2020-10-21;NA;70;2;1
"2770";2020-10-21;NA;80;2;0
"2771";2020-10-20;NA;30;1;0
"2772";2020-10-20;NA;40;1;2
"2773";2020-10-20;NA;50;1;1
"2774";2020-10-20;NA;60;3;3
"2775";2020-10-20;NA;70;4;2
"2776";2020-10-19;NA;40;3;1
"2777";2020-10-19;NA;60;0;1
"2778";2020-10-19;NA;70;0;3
"2779";2020-10-19;NA;80;0;1
"2780";2020-10-18;NA;40;0;2
"2781";2020-10-18;NA;60;1;0
"2782";2020-10-18;NA;70;2;3
"2783";2020-10-17;NA;30;1;0
"2784";2020-10-17;NA;40;1;0
"2785";2020-10-17;NA;50;1;0
"2786";2020-10-17;NA;60;3;1
"2787";2020-10-17;NA;70;3;1
"2788";2020-10-16;NA;40;0;1
"2789";2020-10-16;NA;50;1;0
"2790";2020-10-16;NA;60;3;3
"2791";2020-10-16;NA;70;2;2
"2792";2020-10-16;NA;90;0;1
"2793";2020-10-15;NA;40;1;1
"2794";2020-10-15;NA;50;1;0
"2795";2020-10-15;NA;60;1;3
"2796";2020-10-15;NA;70;1;2
"2797";2020-10-15;NA;90;1;0
"2798";2020-10-14;NA;40;2;1
"2799";2020-10-14;NA;50;0;1
"2800";2020-10-14;NA;60;6;1
"2801";2020-10-14;NA;70;0;1
"2802";2020-10-14;NA;80;0;1
"2803";2020-10-13;NA;40;1;1
"2804";2020-10-13;NA;60;1;0
"2805";2020-10-13;NA;70;1;2
"2806";2020-10-12;NA;0;0;1
"2807";2020-10-12;NA;40;1;0
"2808";2020-10-12;NA;50;0;1
"2809";2020-10-12;NA;60;2;1
"2810";2020-10-12;NA;70;2;1
"2811";2020-10-12;NA;80;2;0
"2812";2020-10-11;NA;60;2;0
"2813";2020-10-11;NA;80;2;0
"2814";2020-10-10;NA;10;1;0
"2815";2020-10-10;NA;20;1;0
"2816";2020-10-10;NA;50;2;1
"2817";2020-10-10;NA;60;1;0
"2818";2020-10-10;NA;70;1;1
"2819";2020-10-09;NA;60;3;0
"2820";2020-10-09;NA;70;3;0
"2821";2020-10-08;NA;50;0;1
"2822";2020-10-08;NA;60;1;0
"2823";2020-10-08;NA;70;5;3
"2824";2020-10-07;NA;40;1;0
"2825";2020-10-07;NA;60;0;1
"2826";2020-10-07;NA;70;3;0
"2827";2020-10-07;NA;80;1;0
"2828";2020-10-06;NA;50;2;0
"2829";2020-10-06;NA;70;0;2
"2830";2020-10-06;NA;80;0;2
"2831";2020-10-05;NA;40;0;1
"2832";2020-10-05;NA;50;0;1
"2833";2020-10-05;NA;60;0;2
"2834";2020-10-05;NA;70;1;1
"2835";2020-10-05;NA;80;3;2
"2836";2020-10-04;NA;40;2;0
"2837";2020-10-04;NA;60;1;1
"2838";2020-10-04;NA;70;1;0
"2839";2020-10-03;NA;60;2;0
"2840";2020-10-03;NA;70;3;2
"2841";2020-10-02;NA;80;0;1
"2842";2020-10-01;NA;60;0;3
"2843";2020-10-01;NA;70;0;1
"2844";2020-10-01;NA;80;0;1
"2845";2020-09-30;NA;40;1;0
"2846";2020-09-30;NA;50;1;0
"2847";2020-09-30;NA;70;2;0
